product_name, price_ship
EVGA GeForce RTX 2070 SUPER XC GAMING| 08G-P4-3172-KR| 8GB GDDR6| Dual HDB Fans| RGB LED| Metal Backplate,$15.99 Shipping
EVGA GeForce RTX 2060 SC Ultra GAMING| 06G-P4-2067-KR| 6GB GDDR6| Dual HDB Fans,Free Shipping
EVGA GeForce GTX 1650 SC ULTRA GAMING GDDR6| 04G-P4-1257-KR| 4GB GDDR6| Dual Fan| Metal Backplate,$2.99 Shipping
ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
ASUS TUF Gaming GeForce GTX 1650 SUPER Overclocked 4GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1650S-O4G-GAMING),$3.99 Shipping
SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,$3.99 Shipping
ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-EVO-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card| 06G-P4-2068-KR| 6GB GDDR6| Dual Fans| Metal Backplate,$3.99 Shipping
ASUS Phoenix GeForce GTX 1650 PH-GTX1650-O4GD6 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$3.99 Shipping
ASUS GeForce GT 1030 2GB GDDR5 HDMI DVI Graphics Card (GT1030-2G-CSM),$0.99 Shipping
MSI Radeon RX 5700 DirectX 12 RX 5700 MECH GP OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,Free Shipping
MSI GeForce GTX 1650 DirectX 12 GTX 1650 GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$12.99 Shipping
ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$75.00 Shipping
MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card,$3.99 Shipping
MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,Free Shipping
EVGA GeForce GT 710 DirectX 12 01G-P3-2711-KR 1GB 64-Bit DDR3 PCI Express 2.0 Low Profile Video Card,Free Shipping
EVGA GeForce GTX 1660 Ti SC ULTRA GAMING| 06G-P4-1667-KR| 6GB GDDR6| Dual Fan| Metal Backplate,Free Shipping
GIGABYTE Radeon RX 5500 XT DirectX 12 GV-R55XTOC-8GD 8GB 128-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
XFX RX-560D4SFG5 Radeon RX 560 4GB GDDR5 - 1196 MHz Core - 14 CU - Dual Slot Space Required Graphic Card,Free Shipping
